Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 3, 2022 - March 10, 2022"
Statement,Data,WhenGenerated,"2022-03-11, 15:32:06 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,SubTotal,,Forex,SGD,USD.SGD,,-1743.8767,,2365.38685706,0,
Trades,Total,,Forex,SGD,,,,,2365.38685706,0, 
Trades,Total,,Forex,USD,,,,,1744.331177752,0, 
Trades,Data,Order,Forex,USD,EUR.USD,"2022-02-14, 03:48:29","1,058",1.1308,-1196.3864,-0.023927728,L
Trades,Data,Order,Forex,USD,EUR.USD,"2022-02-16, 19:44:09",-0.09944,1.13725,0.11308814,0,
Trades,SubTotal,,Forex,USD,EUR.USD,,1057.90056,,-1196.27331186,-0.023927728,
Trades,Data,Order,Forex,USD,RUB.USD,"2022-01-28, 16:30:00","-49,423.73",0.012789,632.08008297,0,
Trades,Data,Order,Forex,USD,RUB.USD,"2022-02-03, 16:30:00",18.7,0.013113,-0.2452131,0,
Trades,Data,Order,Forex,USD,RUB.USD,"2022-03-03, 16:30:00",0.01,0.0090995,-0.000090995,0,
Trades,SubTotal,,Forex,USD,RUB.USD,,-49405.02,,631.834778875,0,
Trades,Total,,Forex,USD,,,,,-564.438532985,-0.023927728, 
